time_s,current_A,heat_per_cell_W
0.0000,0.0000,0.0000
0.4502,3.3767,0.2280
0.9005,6.7534,0.9122
1.3507,10.1301,2.0524
1.8009,13.5068,3.6486
2.2511,15.0000,4.5000
2.7014,15.0000,4.5000
3.1516,15.0000,4.5000
3.6018,15.0000,4.5000
4.0520,15.0000,4.5000
4.5023,15.0000,4.5000
4.9525,15.0000,4.5000
5.4027,15.0000,4.5000
5.8529,15.0000,4.5000
6.3032,15.0000,4.5000
6.7534,15.0000,4.5000
7.2036,15.0000,4.5000
7.6538,15.0000,4.5000
8.1041,15.0000,4.5000
8.5543,15.0000,4.5000
9.0045,15.0000,4.5000
9.4547,15.0000,4.5000
9.9050,15.0000,4.5000
10.3552,15.0000,4.5000
10.8054,15.0000,4.5000
11.2556,15.0000,4.5000
11.7059,15.0000,4.5000
12.1561,15.0000,4.5000
12.6063,15.0000,4.5000
13.0565,15.0000,4.5000
13.5068,15.0000,4.5000
13.9570,15.0000,4.5000
14.4072,15.0000,4.5000
14.8574,15.0000,4.5000
15.3077,15.0000,4.5000
15.7579,15.0000,4.5000
16.2081,15.0000,4.5000
16.6583,15.0000,4.5000
17.1086,15.0000,4.5000
17.5588,15.0000,4.5000
18.0090,15.0000,4.5000
18.4592,15.0000,4.5000
18.9095,15.0000,4.5000
19.3597,15.0000,4.5000
19.8099,15.0000,4.5000
20.2601,15.0000,4.5000
20.7104,15.0000,4.5000
21.1606,15.0000,4.5000
21.6108,15.0000,4.5000
22.0610,15.0000,4.5000
22.5113,15.0000,4.5000
22.9615,15.0000,4.5000
23.4117,15.0000,4.5000
23.8619,15.0000,4.5000
24.3122,15.0000,4.5000
24.7624,15.0000,4.5000
25.2126,15.0000,4.5000
25.6628,15.0000,4.5000
26.1131,15.0000,4.5000
26.5633,15.0000,4.5000
27.0135,15.0000,4.5000
27.4637,15.0000,4.5000
27.9140,15.0000,4.5000
28.3642,15.0000,4.5000
28.8144,15.0000,4.5000
29.2646,15.0000,4.5000
29.7149,15.0000,4.5000
30.1651,15.0000,4.5000
30.6153,15.0000,4.5000
31.0655,15.0000,4.5000
31.5158,15.0000,4.5000
31.9660,15.0000,4.5000
32.4162,15.0000,4.5000
32.8664,15.0000,4.5000
33.3167,15.0000,4.5000
33.7669,15.0000,4.5000
34.2171,15.0000,4.5000
34.6673,15.0000,4.5000
35.1176,15.0000,4.5000
35.5678,15.0000,4.5000
36.0180,15.0000,4.5000
36.4682,15.0000,4.5000
36.9185,15.0000,4.5000
37.3687,15.0000,4.5000
37.8189,15.0000,4.5000
38.2691,15.0000,4.5000
38.7194,15.0000,4.5000
39.1696,15.0000,4.5000
39.6198,15.0000,4.5000
40.0700,15.0000,4.5000
40.5203,15.0000,4.5000
40.9705,15.0000,4.5000
41.4207,15.0000,4.5000
41.8709,15.0000,4.5000
42.3212,15.0000,4.5000
42.7714,15.0000,4.5000
43.2216,15.0000,4.5000
43.6718,15.0000,4.5000
44.1221,15.0000,4.5000
44.5723,15.0000,4.5000
45.0225,15.0000,4.5000
45.4727,15.0000,4.5000
45.9230,15.0000,4.5000
46.3732,15.0000,4.5000
46.8234,15.0000,4.5000
47.2736,15.0000,4.5000
47.7239,15.0000,4.5000
48.1741,15.0000,4.5000
48.6243,15.0000,4.5000
49.0745,15.0000,4.5000
49.5248,15.0000,4.5000
49.9750,15.0000,4.5000
50.4252,15.0000,4.5000
