time_s,lumped_model_C,fea_scenarioA_max_C
0.0,22.000,22.643
1.0,22.006,22.643
2.0,22.047,22.643
3.0,22.118,22.643
4.0,22.190,22.643
5.0,22.261,22.643
6.0,22.332,22.643
7.0,22.403,22.643
8.0,22.474,22.643
9.0,22.545,22.643
10.0,22.616,22.714
11.0,22.687,22.786
12.0,22.758,22.857
13.0,22.829,22.929
14.0,22.899,23.000
15.0,22.970,23.072
16.0,23.041,23.143
17.0,23.111,23.215
18.0,23.182,23.286
19.0,23.252,23.357
20.0,23.322,23.429
21.0,23.393,23.500
22.0,23.463,23.572
23.0,23.533,23.643
24.0,23.603,23.714
25.0,23.673,23.786
26.0,23.743,23.857
27.0,23.813,23.928
28.0,23.883,24.000
29.0,23.953,24.071
30.0,24.022,24.143
31.0,24.092,24.214
32.0,24.162,24.285
33.0,24.231,24.357
34.0,24.301,24.428
35.0,24.370,24.500
36.0,24.440,24.571
37.0,24.509,24.642
38.0,24.578,24.714
39.0,24.648,24.785
40.0,24.717,24.856
41.0,24.786,24.928
42.0,24.855,24.999
43.0,24.924,25.070
44.0,24.993,25.142
45.0,25.062,25.213
46.0,25.131,25.284
47.0,25.199,25.356
48.0,25.268,25.427
49.0,25.337,25.498
50.0,25.405,25.570
51.0,25.474,25.641
52.0,25.542,25.712
53.0,25.611,25.784
54.0,25.679,25.855
55.0,25.747,25.926
56.0,25.816,25.997
57.0,25.884,26.069
58.0,25.952,26.140
59.0,26.020,26.211
60.0,26.088,26.282
61.0,26.156,26.353
62.0,26.224,26.424
63.0,26.292,26.495
64.0,26.359,26.567
65.0,26.427,26.638
66.0,26.495,26.709
67.0,26.562,26.780
68.0,26.630,26.851
69.0,26.697,26.922
70.0,26.765,26.994
71.0,26.832,27.065
72.0,26.900,27.136
73.0,26.967,27.207
74.0,27.034,27.278
75.0,27.101,27.349
76.0,27.168,27.419
77.0,27.235,27.490
78.0,27.302,27.561
79.0,27.369,27.632
80.0,27.436,27.703
81.0,27.503,27.773
82.0,27.570,27.844
83.0,27.636,27.915
84.0,27.703,27.986
85.0,27.770,28.057
86.0,27.836,28.128
87.0,27.903,28.199
88.0,27.969,28.269
89.0,28.036,28.340
90.0,28.102,28.411
