time_ms,min_C,max_C,avg_C
9000,22.025,22.643,22.402
18000,22.084,23.286,22.81
36000,22.317,24.571,23.636
54000,22.632,25.855,24.468
72000,23.004,27.136,25.303
90000,23.419,28.411,26.139
108000,23.866,29.681,26.975
126000,24.337,30.942,27.811
144000,24.828,32.193,28.645
162000,25.335,33.432,29.477
180000,25.854,34.66,30.306
198000,26.384,35.874,31.132
216000,26.923,37.075,31.955
234000,27.468,38.263,32.775
252000,28.02,39.437,33.591
270000,28.575,40.596,34.402
288000,29.135,41.743,35.21
306000,29.697,42.875,36.013
324000,30.262,43.994,36.812
342000,30.828,45.101,37.606
360000,31.396,46.194,38.396
378000,31.964,47.276,39.181
396000,32.532,48.345,39.962
414000,33.1,49.403,40.738
432000,33.668,50.449,41.508
450000,34.235,51.484,42.274
468000,34.801,52.508,43.035
486000,35.365,53.521,43.792
504000,35.929,54.525,44.543
522000,36.49,55.517,45.289
540000,37.05,56.501,46.03
558000,37.608,57.474,46.767
576000,38.163,58.438,47.498
594000,38.717,59.393,48.224
612000,39.151,59.053,48.133
630000,39.47,58.705,48.024
648000,39.704,58.35,47.904
666000,39.877,57.99,47.776
684000,40.005,57.627,47.641
702000,40.098,57.262,47.502
720000,40.163,56.897,47.358
738000,40.206,56.534,47.211
756000,40.229,56.175,47.06
774000,40.237,55.821,46.908
792000,40.23,55.471,46.754
810000,40.212,55.128,46.598
828000,40.184,54.791,46.44
846000,40.146,54.461,46.282
864000,40.1,54.138,46.123
882000,40.048,53.821,45.963
900000,39.989,53.511,45.803
