time_ms,min_C,max_C,avg_C
9000,22.021,22.643,22.396
18000,22.071,23.286,22.792
36000,22.239,24.571,23.571
54000,22.435,25.855,24.335
72000,22.63,27.135,25.082
90000,22.793,28.41,25.813
108000,22.953,29.678,26.527
126000,23.109,30.936,27.224
144000,23.258,32.182,27.905
162000,23.394,33.415,28.57
180000,23.52,34.634,29.22
198000,23.642,35.836,29.856
216000,23.76,37.022,30.477
234000,23.873,38.19,31.084
252000,23.983,39.34,31.678
270000,24.09,40.471,32.26
288000,24.193,41.583,32.828
306000,24.294,42.676,33.385
324000,24.391,43.75,33.93
342000,24.487,44.805,34.463
360000,24.579,45.84,34.985
378000,24.669,46.857,35.497
396000,24.757,47.855,35.998
414000,24.843,48.833,36.488
432000,24.927,49.794,36.969
450000,25.009,50.736,37.44
468000,25.089,51.661,37.901
486000,25.167,52.568,38.353
504000,25.244,53.457,38.796
522000,25.319,54.33,39.23
540000,25.392,55.185,39.656
558000,25.464,56.024,40.072
576000,25.534,56.847,40.481
594000,25.603,57.653,40.881
612000,25.481,57.158,40.485
630000,25.37,56.648,40.091
648000,25.27,56.125,39.704
666000,25.175,55.59,39.326
684000,25.085,55.046,38.957
702000,25.0,54.496,38.598
720000,24.918,53.94,38.249
738000,24.841,53.383,37.908
756000,24.767,52.825,37.577
774000,24.697,52.268,37.254
792000,24.63,51.714,36.939
810000,24.566,51.164,36.632
828000,24.505,50.618,36.333
846000,24.446,50.079,36.041
864000,24.39,49.546,35.756
882000,24.336,49.02,35.478
900000,24.284,48.501,35.205
